client timestamp,button,state,x,y
204,NoButton,Move,498,229
207,NoButton,Move,504,233
215,NoButton,Move,514,241
223,NoButton,Move,532,255
231,NoButton,Move,559,272
239,NoButton,Move,594,294
247,NoButton,Move,631,315
255,NoButton,Move,670,336
263,NoButton,Move,715,357
271,NoButton,Move,754,376
280,NoButton,Move,788,390
287,NoButton,Move,816,400
295,NoButton,Move,835,405
303,NoButton,Move,851,409
311,NoButton,Move,863,411
319,NoButton,Move,874,412
327,NoButton,Move,879,412
335,NoButton,Move,886,412
343,NoButton,Move,891,412
351,NoButton,Move,896,412
359,NoButton,Move,899,411
367,NoButton,Move,900,411
375,NoButton,Move,902,409
383,NoButton,Move,906,409
391,NoButton,Move,909,408
399,NoButton,Move,912,407
407,NoButton,Move,917,406
415,NoButton,Move,923,406
423,NoButton,Move,929,406
431,NoButton,Move,936,406
439,NoButton,Move,944,406
447,NoButton,Move,952,406
455,NoButton,Move,960,406
463,NoButton,Move,967,406
471,NoButton,Move,974,406
479,NoButton,Move,979,406
487,NoButton,Move,983,406
495,NoButton,Move,986,406
503,NoButton,Move,988,406
511,NoButton,Move,989,406
519,NoButton,Move,990,406
559,NoButton,Move,990,406
567,NoButton,Move,990,405
575,NoButton,Move,990,403
583,NoButton,Move,990,401
591,NoButton,Move,990,400
599,NoButton,Move,990,399
719,NoButton,Move,990,398
727,NoButton,Move,990,396
735,NoButton,Move,988,390
743,NoButton,Move,986,384
751,NoButton,Move,983,378
759,NoButton,Move,980,374
767,NoButton,Move,977,369
775,NoButton,Move,974,363
783,NoButton,Move,970,358
791,NoButton,Move,966,352
799,NoButton,Move,961,347
807,NoButton,Move,958,344
815,NoButton,Move,954,340
823,NoButton,Move,949,336
831,NoButton,Move,944,332
839,NoButton,Move,941,330
847,NoButton,Move,936,327
855,NoButton,Move,929,324
864,NoButton,Move,922,321
871,NoButton,Move,914,319
879,NoButton,Move,903,317
887,NoButton,Move,889,314
895,NoButton,Move,873,313
903,NoButton,Move,853,312
911,NoButton,Move,834,312
919,NoButton,Move,809,312
927,NoButton,Move,785,312
935,NoButton,Move,760,312
943,NoButton,Move,733,312
951,NoButton,Move,711,312
959,NoButton,Move,695,312
967,NoButton,Move,680,312
975,NoButton,Move,668,312
983,NoButton,Move,660,312
991,NoButton,Move,656,312
999,NoButton,Move,654,312
1007,NoButton,Move,653,312
1015,NoButton,Move,653,312
1103,NoButton,Move,652,311
1111,NoButton,Move,652,309
1129,NoButton,Move,656,306
1129,NoButton,Move,662,302
1135,NoButton,Move,670,299
1143,NoButton,Move,681,295
1151,NoButton,Move,693,293
1159,NoButton,Move,707,290
1167,NoButton,Move,721,289
1175,NoButton,Move,740,287
1183,NoButton,Move,759,287
1191,NoButton,Move,784,287
1199,NoButton,Move,814,287
1207,NoButton,Move,846,287
1215,NoButton,Move,889,294
1223,NoButton,Move,934,303
1231,NoButton,Move,977,312
1239,NoButton,Move,1014,320
1247,NoButton,Move,1049,328
1255,NoButton,Move,1081,337
1263,NoButton,Move,1106,345
1271,NoButton,Move,1128,352
1279,NoButton,Move,1145,357
1287,NoButton,Move,1156,361
1295,NoButton,Move,1164,365
1303,NoButton,Move,1171,368
1311,NoButton,Move,1174,368
1319,NoButton,Move,1175,369
1399,NoButton,Move,1176,369
1407,NoButton,Move,1176,367
1415,NoButton,Move,1175,364
1423,NoButton,Move,1173,362
1431,NoButton,Move,1170,360
1439,NoButton,Move,1166,357
1447,NoButton,Move,1161,355
1455,NoButton,Move,1155,354
1463,NoButton,Move,1149,354
1471,NoButton,Move,1138,355
1479,NoButton,Move,1124,357
1487,NoButton,Move,1108,359
1495,NoButton,Move,1085,360
1503,NoButton,Move,1063,360
1511,NoButton,Move,1042,360
1519,NoButton,Move,1020,360
1527,NoButton,Move,1001,360
1535,NoButton,Move,981,360
1543,NoButton,Move,967,357
1551,NoButton,Move,955,355
1559,NoButton,Move,947,352
1567,NoButton,Move,940,349
1575,NoButton,Move,935,347
1583,NoButton,Move,933,346
1591,NoButton,Move,931,344
1599,NoButton,Move,930,344
1607,NoButton,Move,929,343
1623,NoButton,Move,929,343
1639,NoButton,Move,928,342
1647,NoButton,Move,928,341
1671,NoButton,Move,927,341
1687,NoButton,Move,927,340
1695,NoButton,Move,927,340
1703,NoButton,Move,927,339
1799,NoButton,Move,927,338
1807,NoButton,Move,927,337
1815,NoButton,Move,929,337
1823,NoButton,Move,930,335
1831,NoButton,Move,931,334
1839,NoButton,Move,934,332
1847,NoButton,Move,935,329
1855,NoButton,Move,938,327
1863,NoButton,Move,940,325
1871,NoButton,Move,942,322
1879,NoButton,Move,944,320
1887,NoButton,Move,947,318
1895,NoButton,Move,948,315
1903,NoButton,Move,950,313
1911,NoButton,Move,952,312
1919,NoButton,Move,953,310
1927,NoButton,Move,955,310
1935,NoButton,Move,956,308
1943,NoButton,Move,958,308
1951,NoButton,Move,959,308
1959,NoButton,Move,961,307
1967,NoButton,Move,962,307
1975,NoButton,Move,964,307
1983,NoButton,Move,968,307
1991,NoButton,Move,971,308
1999,NoButton,Move,973,310
2007,NoButton,Move,976,311
2015,NoButton,Move,980,313
2023,NoButton,Move,986,316
2031,NoButton,Move,993,320
2039,NoButton,Move,1000,323
2047,NoButton,Move,1007,326
2055,NoButton,Move,1015,327
2063,NoButton,Move,1022,328
2071,NoButton,Move,1028,328
2079,NoButton,Move,1033,328
2087,NoButton,Move,1039,328
2095,NoButton,Move,1041,328
2103,NoButton,Move,1043,328
2111,NoButton,Move,1045,328
2119,NoButton,Move,1046,328
2127,NoButton,Move,1047,328
2183,NoButton,Move,1047,327
