client timestamp,button,state,x,y
218,NoButton,Move,532,276
222,NoButton,Move,533,276
234,NoButton,Move,537,276
247,NoButton,Move,542,276
259,NoButton,Move,552,276
271,NoButton,Move,564,277
282,NoButton,Move,587,280
295,NoButton,Move,621,285
307,NoButton,Move,679,291
319,NoButton,Move,745,303
331,NoButton,Move,807,320
342,NoButton,Move,869,336
354,NoButton,Move,929,353
367,NoButton,Move,990,369
379,NoButton,Move,1066,386
391,NoButton,Move,1136,405
403,NoButton,Move,1213,423
414,NoButton,Move,1291,436
426,NoButton,Move,1373,449
439,NoButton,Move,1443,466
450,NoButton,Move,1439,472
462,NoButton,Move,1430,476
474,NoButton,Move,1422,476
487,NoButton,Move,1408,476
498,NoButton,Move,1394,472
510,NoButton,Move,1377,469
522,NoButton,Move,1371,464
534,NoButton,Move,1368,462
546,NoButton,Move,1367,456
558,NoButton,Move,1365,452
571,NoButton,Move,1363,447
582,NoButton,Move,1354,441
595,NoButton,Move,1339,431
606,NoButton,Move,1284,408
617,NoButton,Move,1201,391
630,NoButton,Move,1103,377
641,NoButton,Move,996,366
654,NoButton,Move,888,359
666,NoButton,Move,780,355
678,NoButton,Move,674,348
690,NoButton,Move,574,348
702,NoButton,Move,482,348
715,NoButton,Move,401,344
726,NoButton,Move,336,344
738,NoButton,Move,293,344
750,NoButton,Move,272,345
773,NoButton,Move,252,352
786,NoButton,Move,245,357
798,NoButton,Move,239,362
810,NoButton,Move,236,367
821,NoButton,Move,236,369
834,NoButton,Move,236,371
846,NoButton,Move,237,375
858,NoButton,Move,239,380
870,NoButton,Move,241,384
882,NoButton,Move,243,387
894,NoButton,Move,245,389
905,NoButton,Move,250,391
917,NoButton,Move,254,391
930,NoButton,Move,260,390
941,NoButton,Move,269,388
953,NoButton,Move,283,388
965,NoButton,Move,307,388
977,NoButton,Move,359,382
989,NoButton,Move,437,369
1001,NoButton,Move,537,337
1014,NoButton,Move,640,291
1025,NoButton,Move,736,243
1037,NoButton,Move,822,191
1049,NoButton,Move,887,146
1061,NoButton,Move,949,109
1074,NoButton,Move,978,90
1085,NoButton,Move,995,79
1098,NoButton,Move,1001,74
1110,NoButton,Move,1005,72
1122,NoButton,Move,1007,72
1145,NoButton,Move,1008,72
1157,NoButton,Move,1009,72
1181,NoButton,Move,1010,72
1208,NoButton,Move,1012,71
1208,NoButton,Move,1012,70
1217,NoButton,Move,1012,68
1229,NoButton,Move,1013,68
1265,NoButton,Move,1013,69
1277,NoButton,Move,1011,71
1289,NoButton,Move,1009,75
1301,NoButton,Move,1007,80
1313,NoButton,Move,1005,84
1325,NoButton,Move,1002,90
1337,NoButton,Move,999,96
1350,NoButton,Move,996,105
1362,NoButton,Move,994,110
1373,NoButton,Move,991,119
1385,NoButton,Move,991,123
1397,NoButton,Move,991,128
1409,NoButton,Move,991,130
1420,NoButton,Move,991,133
1432,NoButton,Move,996,135
1445,NoButton,Move,1000,138
1457,NoButton,Move,1007,144
1469,NoButton,Move,1013,153
1481,NoButton,Move,1023,162
1493,NoButton,Move,1033,175
1505,NoButton,Move,1038,188
1517,NoButton,Move,1042,197
1529,NoButton,Move,1042,207
1541,NoButton,Move,1042,216
1553,NoButton,Move,1039,226
1565,NoButton,Move,1034,234
1576,NoButton,Move,1027,244
1588,NoButton,Move,1019,251
1601,NoButton,Move,1009,257
1612,NoButton,Move,995,259
1624,NoButton,Move,979,259
1636,NoButton,Move,963,259
1648,NoButton,Move,950,255
1660,NoButton,Move,938,248
1672,NoButton,Move,929,239
1684,NoButton,Move,924,231
1696,NoButton,Move,921,225
1708,NoButton,Move,919,219
1720,NoButton,Move,919,215
1732,NoButton,Move,920,212
1744,NoButton,Move,922,210
1756,NoButton,Move,925,209
1769,NoButton,Move,926,206
1780,NoButton,Move,927,205
1792,NoButton,Move,929,205
1864,NoButton,Move,930,205
1876,NoButton,Move,931,205
1888,NoButton,Move,933,207
1900,NoButton,Move,933,208
1912,NoButton,Move,933,209
1926,NoButton,Move,934,211
1986,Left,Pressed,934,211
2010,NoButton,Drag,936,211
2022,NoButton,Drag,937,211
2034,NoButton,Drag,938,211
