client timestamp,button,state,x,y
432,NoButton,Move,477,228
439,NoButton,Move,478,230
451,NoButton,Move,480,231
464,NoButton,Move,482,236
476,NoButton,Move,484,238
487,NoButton,Move,485,242
499,NoButton,Move,488,247
511,NoButton,Move,491,251
523,NoButton,Move,494,260
535,NoButton,Move,499,266
547,NoButton,Move,505,276
559,NoButton,Move,508,284
571,NoButton,Move,514,293
582,NoButton,Move,520,301
594,NoButton,Move,525,310
607,NoButton,Move,528,318
618,NoButton,Move,534,327
630,NoButton,Move,539,333
644,NoButton,Move,544,342
656,NoButton,Move,549,350
668,NoButton,Move,556,357
679,NoButton,Move,562,363
690,NoButton,Move,574,370
702,NoButton,Move,591,381
715,NoButton,Move,611,389
726,NoButton,Move,635,402
738,NoButton,Move,665,412
751,NoButton,Move,694,425
762,NoButton,Move,721,435
775,NoButton,Move,752,445
786,NoButton,Move,781,454
798,NoButton,Move,811,462
811,NoButton,Move,832,466
823,NoButton,Move,850,469
834,NoButton,Move,871,473
846,NoButton,Move,885,475
858,NoButton,Move,894,475
870,NoButton,Move,902,477
883,NoButton,Move,910,477
894,NoButton,Move,915,477
907,NoButton,Move,919,477
918,NoButton,Move,923,476
930,NoButton,Move,925,475
943,NoButton,Move,928,473
954,NoButton,Move,929,472
966,NoButton,Move,931,472
978,NoButton,Move,933,472
990,NoButton,Move,936,471
1002,NoButton,Move,938,471
1014,NoButton,Move,942,471
1026,NoButton,Move,944,471
1038,NoButton,Move,946,469
1050,NoButton,Move,948,468
1062,NoButton,Move,950,466
1074,NoButton,Move,952,466
1086,NoButton,Move,954,464
1098,NoButton,Move,959,461
1110,NoButton,Move,965,459
1122,NoButton,Move,973,457
1134,NoButton,Move,985,455
1145,NoButton,Move,1002,452
1158,NoButton,Move,1020,450
1170,NoButton,Move,1036,450
1182,NoButton,Move,1054,447
1194,NoButton,Move,1072,445
1206,NoButton,Move,1084,443
1217,NoButton,Move,1096,443
1229,NoButton,Move,1105,440
1241,NoButton,Move,1113,438
1253,NoButton,Move,1117,437
1265,NoButton,Move,1120,435
1277,NoButton,Move,1121,435
1290,NoButton,Move,1122,435
1301,NoButton,Move,1122,434
1313,NoButton,Move,1122,432
1338,NoButton,Move,1122,432
1352,NoButton,Move,1120,431
1424,Left,Pressed,1120,431
1434,NoButton,Drag,1119,431
1436,NoButton,Drag,1117,429
1448,NoButton,Drag,1115,427
1459,NoButton,Drag,1110,426
1471,NoButton,Drag,1106,423
1483,NoButton,Drag,1100,421
1495,NoButton,Drag,1095,418
1507,NoButton,Drag,1090,416
1518,NoButton,Drag,1084,413
1525,Left,Released,1084,413
1531,NoButton,Move,1079,411
1543,NoButton,Move,1077,410
1556,NoButton,Move,1073,407
1568,NoButton,Move,1070,405
1661,NoButton,Move,1062,403
1673,NoButton,Move,1057,401
1685,NoButton,Move,1053,398
1697,NoButton,Move,1051,398
1709,NoButton,Move,1048,396
1722,NoButton,Move,1046,395
1733,NoButton,Move,1044,393
1745,NoButton,Move,1042,392
1758,NoButton,Move,1037,390
1769,NoButton,Move,1036,388
1781,NoButton,Move,1034,387
1793,NoButton,Move,1032,385
1805,NoButton,Move,1028,385
1817,NoButton,Move,1019,383
1829,NoButton,Move,1010,380
1841,NoButton,Move,997,378
1853,NoButton,Move,984,376
1865,NoButton,Move,972,376
1877,NoButton,Move,959,373
1890,NoButton,Move,945,371
1902,NoButton,Move,932,371
1913,NoButton,Move,920,369
1925,NoButton,Move,907,367
1937,NoButton,Move,890,364
1949,NoButton,Move,872,362
1961,NoButton,Move,855,362
1973,NoButton,Move,843,360
1985,NoButton,Move,834,360
1997,NoButton,Move,828,360
2009,NoButton,Move,823,361
2021,NoButton,Move,817,363
2033,NoButton,Move,812,365
2045,NoButton,Move,807,368
2057,NoButton,Move,803,370
2069,NoButton,Move,801,372
2081,NoButton,Move,798,375
2093,NoButton,Move,793,379
2105,NoButton,Move,791,382
2117,NoButton,Move,788,386
2129,NoButton,Move,786,389
2140,NoButton,Move,784,391
2153,NoButton,Move,783,393
2164,NoButton,Move,783,394
2176,NoButton,Move,783,396
2200,NoButton,Move,783,396
2213,NoButton,Move,785,396
2225,NoButton,Move,786,396
2236,NoButton,Move,787,396
2248,NoButton,Move,788,396
2260,NoButton,Move,790,395
2272,NoButton,Move,791,394
2297,NoButton,Move,793,393
2309,NoButton,Move,794,393
2320,NoButton,Move,795,393
2332,NoButton,Move,797,393
2344,NoButton,Move,799,393
2356,NoButton,Move,800,393
2368,NoButton,Move,802,393
2380,NoButton,Move,804,394
2392,NoButton,Move,805,396
2404,NoButton,Move,806,398
2416,NoButton,Move,808,400
2428,NoButton,Move,809,401
2440,NoButton,Move,809,403
2452,NoButton,Move,811,405
2464,NoButton,Move,812,406
2476,NoButton,Move,812,407
2488,NoButton,Move,814,409
2514,NoButton,Move,814,410
2536,NoButton,Move,814,411
2595,NoButton,Move,814,412
2644,NoButton,Move,814,414
2716,NoButton,Move,814,415
2788,NoButton,Move,815,415
2848,NoButton,Move,816,415
2908,NoButton,Move,817,415
2956,NoButton,Move,819,415
2991,NoButton,Move,820,415
3004,NoButton,Move,820,413
3015,NoButton,Move,821,413
3027,NoButton,Move,823,413
3040,NoButton,Move,823,412
3063,NoButton,Move,824,411
3087,NoButton,Move,824,409
3111,NoButton,Move,824,408
3124,NoButton,Move,824,408
3136,NoButton,Move,822,407
3147,NoButton,Move,819,407
3159,NoButton,Move,815,404
3171,NoButton,Move,811,402
3184,NoButton,Move,806,400
3195,NoButton,Move,804,398
3207,NoButton,Move,799,395
3219,NoButton,Move,797,393
3231,NoButton,Move,794,388
3243,NoButton,Move,791,382
3255,NoButton,Move,786,376
3267,NoButton,Move,781,368
3279,NoButton,Move,775,359
3291,NoButton,Move,770,354
3303,NoButton,Move,765,349
3315,NoButton,Move,760,344
3327,NoButton,Move,755,341
3339,NoButton,Move,749,338
3350,NoButton,Move,740,335
3363,NoButton,Move,732,332
3375,NoButton,Move,726,329
3387,NoButton,Move,721,326
3399,NoButton,Move,717,324
3411,NoButton,Move,714,322
3423,NoButton,Move,713,320
3435,NoButton,Move,711,318
3470,NoButton,Move,713,318
3482,NoButton,Move,714,319
3494,NoButton,Move,715,320
3506,NoButton,Move,717,322
3520,NoButton,Move,718,323
3592,NoButton,Move,727,325
3604,NoButton,Move,739,328
3699,NoButton,Move,751,330
3772,Left,Pressed,751,330
3781,NoButton,Drag,752,330
3783,NoButton,Drag,754,330
3795,NoButton,Drag,756,330
3807,NoButton,Drag,758,330
3820,NoButton,Drag,760,330
3831,NoButton,Drag,762,330
3843,NoButton,Drag,767,330
3855,NoButton,Drag,779,330
3867,NoButton,Drag,796,327
3868,Left,Released,796,327
3879,NoButton,Move,813,327
3891,NoButton,Move,829,327
3903,NoButton,Move,847,325
3997,NoButton,Move,857,325
4009,NoButton,Move,862,325
4021,NoButton,Move,867,325
4033,NoButton,Move,872,325
4045,NoButton,Move,876,325
4057,NoButton,Move,878,325
4069,NoButton,Move,880,325
4081,NoButton,Move,881,325
4093,NoButton,Move,883,325
4405,NoButton,Move,905,319
4417,NoButton,Move,941,308
4429,NoButton,Move,968,298
4442,NoButton,Move,989,290
4453,NoButton,Move,1004,282
4465,NoButton,Move,1020,271
4477,NoButton,Move,1030,264
4489,NoButton,Move,1036,258
4501,NoButton,Move,1043,252
4513,NoButton,Move,1048,246
4525,NoButton,Move,1052,243
4537,NoButton,Move,1055,238
4549,NoButton,Move,1057,237
4561,NoButton,Move,1060,235
4573,NoButton,Move,1062,233
4585,NoButton,Move,1063,232
4596,NoButton,Move,1065,232
4608,NoButton,Move,1065,230
4620,NoButton,Move,1066,230
4695,Left,Pressed,1066,230
4707,NoButton,Drag,1064,230
4718,NoButton,Drag,1063,230
4730,NoButton,Drag,1061,230
4742,NoButton,Drag,1059,230
4755,NoButton,Drag,1055,230
4767,NoButton,Drag,1049,230
4767,Left,Released,1049,230
4778,NoButton,Move,1044,230
4790,NoButton,Move,1035,228
4803,NoButton,Move,1026,228
4897,NoButton,Move,1013,228
4909,NoButton,Move,1001,228
4921,NoButton,Move,992,229
4933,NoButton,Move,983,233
4945,NoButton,Move,978,234
4957,NoButton,Move,975,236
4968,NoButton,Move,973,236
4981,NoButton,Move,972,237
4993,NoButton,Move,972,239
5004,NoButton,Move,972,240
5016,NoButton,Move,972,241
5028,NoButton,Move,972,242
5040,NoButton,Move,972,245
5052,NoButton,Move,972,247
5064,NoButton,Move,972,248
5076,NoButton,Move,972,250
5089,NoButton,Move,970,252
5100,NoButton,Move,970,253
5112,NoButton,Move,970,255
5124,NoButton,Move,970,256
5136,NoButton,Move,970,258
5148,NoButton,Move,970,259
5160,NoButton,Move,972,261
5172,NoButton,Move,974,263
5184,NoButton,Move,977,269
5197,NoButton,Move,982,278
5246,Left,Pressed,982,278
5255,NoButton,Drag,988,290
5258,NoButton,Drag,993,299
5270,NoButton,Drag,998,304
5282,NoButton,Drag,1000,310
5294,NoButton,Drag,1002,312
5306,NoButton,Drag,1004,313
5318,NoButton,Drag,1005,315
5329,NoButton,Drag,1007,315
5330,Left,Released,1007,315
5341,NoButton,Move,1008,316
5354,NoButton,Move,1010,318
5459,NoButton,Move,1018,322
5471,NoButton,Move,1027,326
5483,NoButton,Move,1040,331
5495,NoButton,Move,1052,337
5507,NoButton,Move,1065,342
5519,NoButton,Move,1073,348
5531,NoButton,Move,1081,350
5543,NoButton,Move,1087,352
5555,NoButton,Move,1091,352
5567,NoButton,Move,1093,352
5579,NoButton,Move,1095,352
5592,NoButton,Move,1095,352
5604,NoButton,Move,1096,350
5616,NoButton,Move,1096,348
5627,NoButton,Move,1096,347
5639,NoButton,Move,1096,345
5650,NoButton,Move,1096,343
5664,NoButton,Move,1096,342
5725,Left,Pressed,1096,342
5738,NoButton,Drag,1096,341
5749,NoButton,Drag,1094,341
5761,NoButton,Drag,1093,339
5785,NoButton,Drag,1092,338
5797,Left,Released,1092,338
5938,NoButton,Move,1086,335
5950,NoButton,Move,1082,333
5962,NoButton,Move,1077,331
5974,NoButton,Move,1076,330
5986,NoButton,Move,1076,329
