client timestamp,button,state,x,y
504,NoButton,Move,539,303
515,NoButton,Move,605,356
527,NoButton,Move,670,399
539,NoButton,Move,732,442
551,NoButton,Move,788,477
563,NoButton,Move,836,501
575,NoButton,Move,866,511
587,NoButton,Move,885,515
599,NoButton,Move,897,517
611,NoButton,Move,906,517
623,NoButton,Move,912,517
634,NoButton,Move,920,517
647,NoButton,Move,926,516
659,NoButton,Move,931,515
671,NoButton,Move,937,515
682,NoButton,Move,942,515
694,NoButton,Move,948,515
706,NoButton,Move,953,515
718,NoButton,Move,961,512
731,NoButton,Move,973,510
743,NoButton,Move,990,508
755,NoButton,Move,1004,504
767,NoButton,Move,1016,501
779,NoButton,Move,1028,498
791,NoButton,Move,1040,494
802,NoButton,Move,1054,491
814,NoButton,Move,1066,489
826,NoButton,Move,1075,484
838,NoButton,Move,1077,481
850,NoButton,Move,1079,477
862,NoButton,Move,1078,471
874,NoButton,Move,1069,468
886,NoButton,Move,1053,465
898,NoButton,Move,1027,462
910,NoButton,Move,970,462
922,NoButton,Move,913,462
934,NoButton,Move,881,462
947,NoButton,Move,861,462
958,NoButton,Move,848,465
970,NoButton,Move,839,468
983,NoButton,Move,837,469
994,NoButton,Move,835,471
1018,NoButton,Move,835,470
1030,NoButton,Move,835,466
1054,NoButton,Move,844,455
1066,NoButton,Move,853,449
1078,NoButton,Move,859,446
1090,NoButton,Move,867,443
1102,NoButton,Move,875,443
1114,NoButton,Move,883,441
1126,NoButton,Move,896,441
1138,NoButton,Move,916,437
1150,NoButton,Move,937,433
1161,NoButton,Move,967,425
1174,NoButton,Move,1018,409
1185,NoButton,Move,1073,391
1197,NoButton,Move,1127,373
1209,NoButton,Move,1179,355
1221,NoButton,Move,1209,345
1234,NoButton,Move,1225,337
1246,NoButton,Move,1234,331
1258,NoButton,Move,1239,329
1269,NoButton,Move,1241,326
1281,NoButton,Move,1241,324
1293,NoButton,Move,1241,323
1306,NoButton,Move,1239,323
1318,NoButton,Move,1232,323
1330,NoButton,Move,1224,323
1342,NoButton,Move,1210,323
1353,NoButton,Move,1193,320
1366,NoButton,Move,1167,316
1378,NoButton,Move,1139,313
1390,NoButton,Move,1105,307
1402,NoButton,Move,1071,304
1414,NoButton,Move,1045,301
1426,NoButton,Move,1021,301
1437,NoButton,Move,995,298
1450,NoButton,Move,969,293
1462,NoButton,Move,951,291
1474,NoButton,Move,925,286
1485,NoButton,Move,903,282
1497,NoButton,Move,882,278
