client timestamp,button,state,x,y
84,NoButton,Move,531,270
88,NoButton,Move,537,270
100,NoButton,Move,546,272
112,NoButton,Move,559,275
123,NoButton,Move,571,278
135,NoButton,Move,583,282
147,NoButton,Move,595,285
159,NoButton,Move,608,291
171,NoButton,Move,627,295
183,NoButton,Move,648,299
195,NoButton,Move,682,304
207,NoButton,Move,743,310
219,NoButton,Move,811,316
231,NoButton,Move,885,320
243,NoButton,Move,945,326
255,NoButton,Move,989,330
266,NoButton,Move,1015,333
279,NoButton,Move,1032,333
291,NoButton,Move,1040,335
303,NoButton,Move,1044,335
315,NoButton,Move,1046,335
327,NoButton,Move,1048,335
339,NoButton,Move,1050,333
351,NoButton,Move,1051,332
363,NoButton,Move,1052,332
375,NoButton,Move,1054,330
423,NoButton,Move,1053,329
435,NoButton,Move,1047,327
447,NoButton,Move,1035,325
460,NoButton,Move,993,320
471,NoButton,Move,908,314
484,NoButton,Move,810,307
496,NoButton,Move,713,300
508,NoButton,Move,620,296
520,NoButton,Move,539,290
531,NoButton,Move,474,290
543,NoButton,Move,422,290
555,NoButton,Move,396,292
567,NoButton,Move,387,294
579,NoButton,Move,382,296
591,NoButton,Move,382,297
603,NoButton,Move,382,299
615,NoButton,Move,382,300
627,NoButton,Move,382,302
639,NoButton,Move,384,307
651,NoButton,Move,386,309
663,NoButton,Move,389,315
674,NoButton,Move,395,327
687,NoButton,Move,399,345
699,NoButton,Move,409,375
711,NoButton,Move,417,410
722,NoButton,Move,426,447
734,NoButton,Move,434,475
747,NoButton,Move,438,488
759,NoButton,Move,441,493
770,NoButton,Move,443,495
782,NoButton,Move,447,495
795,NoButton,Move,459,495
807,NoButton,Move,501,495
818,NoButton,Move,569,495
830,NoButton,Move,661,492
842,NoButton,Move,758,487
854,NoButton,Move,843,481
866,NoButton,Move,920,470
878,NoButton,Move,987,453
891,NoButton,Move,1033,442
903,NoButton,Move,1055,434
914,NoButton,Move,1067,431
927,NoButton,Move,1075,428
939,NoButton,Move,1080,426
950,NoButton,Move,1081,425
